,rmse,correlation,noise,line,angle,adc_q4,step_length,de_dr,hit_count,adc_sum,hull_density,adc_per_hit,curvature,max_adc_norm,scatter_momentum,LABEL
0,0.03298907528563213,99.95314076687988,1,0.4765651,103.81267195716117,0.28986812,0.1477524,5.258113861083984,27,9969.138,18.32678892521543,369.22733,5.8027005,0.9259259259259259,202.09401,0
1,0.5349399099832733,99.42809079762736,1,0.62064373,2.4799221921363173,0.19254118,1.0599549,2.5663087368011475,74,18912.576,2.0830984140463644,255.57535,12.984474,0.0,181.33147,3
2,2.9451959951522357,76.76583286709486,20,2.9735532,7.839755076974373,0.1486874,10.91981,5.147459983825684,64,14221.473,0.06022362133286891,222.21051,59.636757,0.0,35.14172,1
3,7.702323584091952,51.71871320640241,114,5.133641,19.307629745869107,0.11282723,6.0325685,4.583510398864746,590,208179.97,0.053746694426751895,352.8474,88.79408,0.24,76.04231,1
4,4.403832730999764,7.248771350323102,17,8.389516,81.71327859048897,0.13219486,14.173569,3.4616448879241943,21,5064.887,0.013843079502697512,241.1851,49.86515,0.09523809523809523,30.808657,1
5,0.08979800854727685,99.97978129317771,3,0.5041005,0.5056150144544527,0.24539043,209.43857,2.2408182621002197,190,29171.354,7.76585478570729,153.53343,9.2865715,0.0,422.08633,0
6,0.20944946416313345,99.87983872966579,1,0.7552649,1.9331254833287699,0.24189031,305.16168,2.4080278873443604,30,6720.264,2.946331562245113,224.0088,28.766623,0.03333333333333333,40.968353,0
7,0.06725289501467116,99.9887736366756,3,0.7227701,0.2865042252726095,0.32693762,1.7325107,4.802798748016357,38,20383.545,9.314636456189465,536.40906,7.469432,0.9473684210526315,208.3187,0
8,1.706275872678579,93.4634234167604,5,0.6575614,14.028337128500237,0.28847784,1.174871,2.3446860313415527,432,69892.2,0.23877095819692226,161.7875,26.892086,0.24,116.9271,3
9,9.914799035127947,61.94179990339709,23,4.9090548,16.461089852449344,0.1600911,7.7711897,10.965503692626953,89,35317.83,0.02161547200725527,396.82953,81.88287,0.16,33.67739,1
10,10.187884035655486,62.63064645389006,20,7.4800234,25.033821495811885,0.15088142,20.670984,6.2762837409973145,70,19300.719,0.030105949834113344,275.72455,81.14695,0.3,33.50366,1
11,3.6968479834427757,70.92731013753732,13,2.9219522,11.698949418863721,0.18459964,21.642673,4.405756950378418,67,17010.416,0.03559472265124167,253.88681,71.39505,0.28,29.59998,1
12,0.027905208539732818,99.99774857880115,1,0.5299399,0.20550120442945322,0.26735872,1.5300273,2.617929697036743,76,13334.638,17.991594431079363,175.45576,7.1740746,0.98,335.79733,0
13,0.041312395224585255,99.85689878334284,1,0.47158813,0.2683116425819821,0.30884027,42.171963,4.492088794708252,47,15731.272,19.18908629854656,334.70792,3.042551,0.9361702127659575,649.50977,0
14,3.5905235997987726,78.00037973138522,3,0.57703817,4.787913079590467,0.36289385,0.06325211,7.081142902374268,171,74587.164,0.29832761313680684,436.18225,20.112812,0.98,110.89436,3
15,1.2780741801270559,65.59936490722578,8,1.4593173,6.9006855013077075,0.24815421,3.8289897,2.6830081939697266,26,4321.892,0.3369133577754556,166.22662,28.99371,0.19230769230769232,43.669025,2
16,0.13484130606382108,99.96807338320718,3,0.60639703,1.1309639951051353,0.18556824,0.3053616,2.452219009399414,143,28921.316,3.676827244781661,202.24696,14.046453,0.1,225.34048,3
17,0.12723832411651487,99.95050021610086,1,0.60851467,0.9039429902484631,0.29865453,26.430387,5.217134475708008,40,16889.867,5.631342557797688,422.24667,7.2029586,0.925,203.39362,0
18,1.674900482524758,95.03325504428423,14,0.9165977,4.871151475583582,0.25003326,2.115249,1.9123640060424805,1029,138514.7,0.11309414744900767,134.61098,57.31483,0.1,101.26658,3
19,0.020811847832828183,99.99667949753258,2,0.5850301,0.5266404152749674,0.21710108,5.1776443,2.181539535522461,47,5870.6074,24.316973753625987,124.90654,8.484721,0.3404255319148936,253.20398,0
20,0.03630444393387775,99.9973794302555,4,0.559523,0.1009261716438586,0.25263792,35.214085,1.5276145935058594,117,18780.023,11.724246164815726,160.51302,12.712109,0.94,271.36633,0
